Process,Lon,Lat,Year,m_se
Sterodynamic,-70.375,42.875,2008,0.007994949989075567
Sterodynamic,-70.375,42.875,2009,0.007580964662203213
Sterodynamic,-70.375,42.875,2010,0.007886005139318293
Sterodynamic,-70.375,42.875,2011,0.008758416577059754
Sterodynamic,-70.375,42.875,2012,0.00764071563071798
Sterodynamic,-70.375,42.875,2013,0.007277475704845034
Sterodynamic,-70.375,42.875,2014,0.006167328688022912
Sterodynamic,-70.375,42.875,2015,0.005765580776541458
Sterodynamic,-70.375,42.875,2016,0.00560997626843301
Sterodynamic,-70.375,42.875,2017,0.005409150834649227
Sterodynamic,-70.375,42.875,2018,0.0051097172745466326
Sterodynamic,-70.375,42.875,2019,0.005223916130418643
Sterodynamic,-70.375,42.875,2020,0.007285660104637435
Sterodynamic,-70.375,42.875,2021,0.004703648096561199
SL_multi,-70.375,42.875,1880,0.0316684917585727
SL_multi,-70.375,42.875,1881,0.03108291989622417
SL_multi,-70.375,42.875,1882,0.030917550696964585
SL_multi,-70.375,42.875,1883,0.0307729937343728
SL_multi,-70.375,42.875,1884,0.030371792085592125
SL_multi,-70.375,42.875,1885,0.030447397291387644
SL_multi,-70.375,42.875,1886,0.030065486980665548
SL_multi,-70.375,42.875,1887,0.029508619849105883
SL_multi,-70.375,42.875,1888,0.029571890978072484
SL_multi,-70.375,42.875,1889,0.02935660072389964
SL_multi,-70.375,42.875,1890,0.029079751444127985
SL_multi,-70.375,42.875,1891,0.029241108178744948
SL_multi,-70.375,42.875,1892,0.0291423667769063
SL_multi,-70.375,42.875,1893,0.028650640211698882
SL_multi,-70.375,42.875,1894,0.02859040600689588
SL_multi,-70.375,42.875,1895,0.02827938120628773
SL_multi,-70.375,42.875,1896,0.028203896768114148
SL_multi,-70.375,42.875,1897,0.028546994541945876
SL_multi,-70.375,42.875,1898,0.027566602241549054
SL_multi,-70.375,42.875,1899,0.027267763965511407
SL_multi,-70.375,42.875,1900,0.027794190963507312
SL_multi,-70.375,42.875,1901,0.027382024608037816
SL_multi,-70.375,42.875,1902,0.027622198975431653
SL_multi,-70.375,42.875,1903,0.02727772306675011
SL_multi,-70.375,42.875,1904,0.02678724034028035
SL_multi,-70.375,42.875,1905,0.026734656448114267
SL_multi,-70.375,42.875,1906,0.026177100725961272
SL_multi,-70.375,42.875,1907,0.026261439578250015
SL_multi,-70.375,42.875,1908,0.026350659979456088
SL_multi,-70.375,42.875,1909,0.02591207035278265
SL_multi,-70.375,42.875,1910,0.02606674202384996
SL_multi,-70.375,42.875,1911,0.025499237685919888
SL_multi,-70.375,42.875,1912,0.025775714150524053
SL_multi,-70.375,42.875,1913,0.02527373023148738
SL_multi,-70.375,42.875,1914,0.02532865510046332
SL_multi,-70.375,42.875,1915,0.025489406630773384
SL_multi,-70.375,42.875,1916,0.025507072180907676
SL_multi,-70.375,42.875,1917,0.024839573246788104
SL_multi,-70.375,42.875,1918,0.025169185766540578
SL_multi,-70.375,42.875,1919,0.024805597956704444
SL_multi,-70.375,42.875,1920,0.024624747695883194
SL_multi,-70.375,42.875,1921,0.024164059225672045
SL_multi,-70.375,42.875,1922,0.024214086692756886
SL_multi,-70.375,42.875,1923,0.02404839118505343
SL_multi,-70.375,42.875,1924,0.023947305303262653
SL_multi,-70.375,42.875,1925,0.023874260195829927
SL_multi,-70.375,42.875,1926,0.023610011763711778
SL_multi,-70.375,42.875,1927,0.023307944751071584
SL_multi,-70.375,42.875,1928,0.023789044009592475
SL_multi,-70.375,42.875,1929,0.023462160955753063
SL_multi,-70.375,42.875,1930,0.02358542478174526
SL_multi,-70.375,42.875,1931,0.022900697972151968
SL_multi,-70.375,42.875,1932,0.022701749338618533
SL_multi,-70.375,42.875,1933,0.022309419254527025
SL_multi,-70.375,42.875,1934,0.022851843726111532
SL_multi,-70.375,42.875,1935,0.02259462026028136
SL_multi,-70.375,42.875,1936,0.022855332676204012
SL_multi,-70.375,42.875,1937,0.02265810542275311
SL_multi,-70.375,42.875,1938,0.022066700856556574
SL_multi,-70.375,42.875,1939,0.02175530921810369
SL_multi,-70.375,42.875,1940,0.02167293811795877
SL_multi,-70.375,42.875,1941,0.021323304953856658
SL_multi,-70.375,42.875,1942,0.0210069037010895
SL_multi,-70.375,42.875,1943,0.020972156791798695
SL_multi,-70.375,42.875,1944,0.020972559504394594
SL_multi,-70.375,42.875,1945,0.020288982109878027
SL_multi,-70.375,42.875,1946,0.02010108325584975
SL_multi,-70.375,42.875,1947,0.020002314491874937
SL_multi,-70.375,42.875,1948,0.019819617431997238
SL_multi,-70.375,42.875,1949,0.019427306407971277
SL_multi,-70.375,42.875,1950,0.019470662843885312
SL_multi,-70.375,42.875,1951,0.020002708922361268
SL_multi,-70.375,42.875,1952,0.019227300993287514
SL_multi,-70.375,42.875,1953,0.018982451481689807
SL_multi,-70.375,42.875,1954,0.019312855189600762
SL_multi,-70.375,42.875,1955,0.01829487434507683
SL_multi,-70.375,42.875,1956,0.018379029298996364
SL_multi,-70.375,42.875,1957,0.018484956808833428
SL_multi,-70.375,42.875,1958,0.01800100297092694
SL_multi,-70.375,42.875,1959,0.01793629498723227
SL_multi,-70.375,42.875,1960,0.018017137613717975
SL_multi,-70.375,42.875,1961,0.01728077459295655
SL_multi,-70.375,42.875,1962,0.017494282104973634
SL_multi,-70.375,42.875,1963,0.017315458250913313
SL_multi,-70.375,42.875,1964,0.017042487333601055
SL_multi,-70.375,42.875,1965,0.01713595052876928
SL_multi,-70.375,42.875,1966,0.016490258603472176
SL_multi,-70.375,42.875,1967,0.016505533525427735
SL_multi,-70.375,42.875,1968,0.016718767976693544
SL_multi,-70.375,42.875,1969,0.01599267925504175
SL_multi,-70.375,42.875,1970,0.015948120997355385
SL_multi,-70.375,42.875,1971,0.015622558553743669
SL_multi,-70.375,42.875,1972,0.017180871093676862
SL_multi,-70.375,42.875,1973,0.015404176097473559
SL_multi,-70.375,42.875,1974,0.015211354022230898
SL_multi,-70.375,42.875,1975,0.014975807306457582
SL_multi,-70.375,42.875,1976,0.014893576960298827
SL_multi,-70.375,42.875,1977,0.014787867885824112
SL_multi,-70.375,42.875,1978,0.01434277849550561
SL_multi,-70.375,42.875,1979,0.01432822670742474
SL_multi,-70.375,42.875,1980,0.015272204061836539
SL_multi,-70.375,42.875,1981,0.014082415782903715
SL_multi,-70.375,42.875,1982,0.013682617270438955
SL_multi,-70.375,42.875,1983,0.014196523865474677
SL_multi,-70.375,42.875,1984,0.013230442610611222
SL_multi,-70.375,42.875,1985,0.013866655924431617
SL_multi,-70.375,42.875,1986,0.013260090928885858
SL_multi,-70.375,42.875,1987,0.012567012404477905
SL_multi,-70.375,42.875,1988,0.013984739013709961
SL_multi,-70.375,42.875,1989,0.01270297011377939
SL_multi,-70.375,42.875,1990,0.012310583836015717
SL_multi,-70.375,42.875,1991,0.011694690836306122
SL_multi,-70.375,42.875,1992,0.01161432769157602
SL_multi,-70.375,42.875,1993,0.011239935201050459
SL_multi,-70.375,42.875,1994,0.01129137656240891
SL_multi,-70.375,42.875,1995,0.011416062313369654
SL_multi,-70.375,42.875,1996,0.01066553999921934
SL_multi,-70.375,42.875,1997,0.010476134396624131
SL_multi,-70.375,42.875,1998,0.010302347998022907
SL_multi,-70.375,42.875,1999,0.009820034701744083
SL_multi,-70.375,42.875,2000,0.010331301713940973
SL_multi,-70.375,42.875,2001,0.009948959980935174
SL_multi,-70.375,42.875,2002,0.009701376828507479
SL_multi,-70.375,42.875,2003,0.00915333505251766
SL_multi,-70.375,42.875,2004,0.009176825878965164
SL_multi,-70.375,42.875,2005,0.00843369205572474
SL_multi,-70.375,42.875,2006,0.00871733422987321
SL_multi,-70.375,42.875,2007,0.008086984582365649
SL_multi,-70.375,42.875,2008,0.008105035245542382
SL_multi,-70.375,42.875,2009,0.007703240060587632
SL_multi,-70.375,42.875,2010,0.008009125720517726
SL_multi,-70.375,42.875,2011,0.008855633086806737
SL_multi,-70.375,42.875,2012,0.0077374374354772174
SL_multi,-70.375,42.875,2013,0.007370181410783848
SL_multi,-70.375,42.875,2014,0.0062791993283729045
SL_multi,-70.375,42.875,2015,0.005839842211622089
SL_multi,-70.375,42.875,2016,0.005661256342169103
SL_multi,-70.375,42.875,2017,0.00544536229940107
SL_multi,-70.375,42.875,2018,0.005118156235336155
SL_multi,-70.375,42.875,2019,0.005232196263878024
SL_multi,-70.375,42.875,2020,0.007211356441896421
SL_multi,-70.375,42.875,2021,0.004622452512103708
GIA,-70.375,42.875,1880,4.0695149405622926e-4
GIA,-70.375,42.875,1881,4.0695149405622926e-4
GIA,-70.375,42.875,1882,4.0695149405622926e-4
GIA,-70.375,42.875,1883,4.0695149405622926e-4
GIA,-70.375,42.875,1884,4.0695149405622926e-4
GIA,-70.375,42.875,1885,4.0695149405622926e-4
GIA,-70.375,42.875,1886,4.0695149405622926e-4
GIA,-70.375,42.875,1887,4.0695149405622926e-4
GIA,-70.375,42.875,1888,4.0695149405622926e-4
GIA,-70.375,42.875,1889,4.0695149405622926e-4
GIA,-70.375,42.875,1890,4.0695149405622926e-4
GIA,-70.375,42.875,1891,4.0695149405622926e-4
GIA,-70.375,42.875,1892,4.0695149405622926e-4
GIA,-70.375,42.875,1893,4.0695149405622926e-4
GIA,-70.375,42.875,1894,4.0695149405622926e-4
GIA,-70.375,42.875,1895,4.0695149405622926e-4
GIA,-70.375,42.875,1896,4.0695149405622926e-4
GIA,-70.375,42.875,1897,4.0695149405622926e-4
GIA,-70.375,42.875,1898,4.0695149405622926e-4
GIA,-70.375,42.875,1899,4.0695149405622926e-4
GIA,-70.375,42.875,1900,4.0695149405622926e-4
GIA,-70.375,42.875,1901,4.0695149405622926e-4
GIA,-70.375,42.875,1902,4.0695149405622926e-4
GIA,-70.375,42.875,1903,4.0695149405622926e-4
GIA,-70.375,42.875,1904,4.0695149405622926e-4
GIA,-70.375,42.875,1905,4.0695149405622926e-4
GIA,-70.375,42.875,1906,4.0695149405622926e-4
GIA,-70.375,42.875,1907,4.0695149405622926e-4
GIA,-70.375,42.875,1908,4.0695149405622926e-4
GIA,-70.375,42.875,1909,4.0695149405622926e-4
GIA,-70.375,42.875,1910,4.0695149405622926e-4
GIA,-70.375,42.875,1911,4.0695149405622926e-4
GIA,-70.375,42.875,1912,4.0695149405622926e-4
GIA,-70.375,42.875,1913,4.0695149405622926e-4
GIA,-70.375,42.875,1914,4.0695149405622926e-4
GIA,-70.375,42.875,1915,4.0695149405622926e-4
GIA,-70.375,42.875,1916,4.0695149405622926e-4
GIA,-70.375,42.875,1917,4.0695149405622926e-4
GIA,-70.375,42.875,1918,4.0695149405622926e-4
GIA,-70.375,42.875,1919,4.0695149405622926e-4
GIA,-70.375,42.875,1920,4.0695149405622926e-4
GIA,-70.375,42.875,1921,4.0695149405622926e-4
GIA,-70.375,42.875,1922,4.0695149405622926e-4
GIA,-70.375,42.875,1923,4.0695149405622926e-4
GIA,-70.375,42.875,1924,4.0695149405622926e-4
GIA,-70.375,42.875,1925,4.0695149405622926e-4
GIA,-70.375,42.875,1926,4.0695149405622926e-4
GIA,-70.375,42.875,1927,4.0695149405622926e-4
GIA,-70.375,42.875,1928,4.0695149405622926e-4
GIA,-70.375,42.875,1929,4.0695149405622926e-4
GIA,-70.375,42.875,1930,4.0695149405622926e-4
GIA,-70.375,42.875,1931,4.0695149405622926e-4
GIA,-70.375,42.875,1932,4.0695149405622926e-4
GIA,-70.375,42.875,1933,4.0695149405622926e-4
GIA,-70.375,42.875,1934,4.0695149405622926e-4
GIA,-70.375,42.875,1935,4.0695149405622926e-4
GIA,-70.375,42.875,1936,4.0695149405622926e-4
GIA,-70.375,42.875,1937,4.0695149405622926e-4
GIA,-70.375,42.875,1938,4.0695149405622926e-4
GIA,-70.375,42.875,1939,4.0695149405622926e-4
GIA,-70.375,42.875,1940,4.0695149405622926e-4
GIA,-70.375,42.875,1941,4.0695149405622926e-4
GIA,-70.375,42.875,1942,4.0695149405622926e-4
GIA,-70.375,42.875,1943,4.0695149405622926e-4
GIA,-70.375,42.875,1944,4.0695149405622926e-4
GIA,-70.375,42.875,1945,4.0695149405622926e-4
GIA,-70.375,42.875,1946,4.0695149405622926e-4
GIA,-70.375,42.875,1947,4.0695149405622926e-4
GIA,-70.375,42.875,1948,4.0695149405622926e-4
GIA,-70.375,42.875,1949,4.0695149405622926e-4
GIA,-70.375,42.875,1950,4.0695149405622926e-4
GIA,-70.375,42.875,1951,4.0695149405622926e-4
GIA,-70.375,42.875,1952,4.0695149405622926e-4
GIA,-70.375,42.875,1953,4.0695149405622926e-4
GIA,-70.375,42.875,1954,4.0695149405622926e-4
GIA,-70.375,42.875,1955,4.0695149405622926e-4
GIA,-70.375,42.875,1956,4.0695149405622926e-4
GIA,-70.375,42.875,1957,4.0695149405622926e-4
GIA,-70.375,42.875,1958,4.0695149405622926e-4
GIA,-70.375,42.875,1959,4.0695149405622926e-4
GIA,-70.375,42.875,1960,4.0695149405622926e-4
GIA,-70.375,42.875,1961,4.0695149405622926e-4
GIA,-70.375,42.875,1962,4.0695149405622926e-4
GIA,-70.375,42.875,1963,4.0695149405622926e-4
GIA,-70.375,42.875,1964,4.0695149405622926e-4
GIA,-70.375,42.875,1965,4.0695149405622926e-4
GIA,-70.375,42.875,1966,4.0695149405622926e-4
GIA,-70.375,42.875,1967,4.0695149405622926e-4
GIA,-70.375,42.875,1968,4.0695149405622926e-4
GIA,-70.375,42.875,1969,4.0695149405622926e-4
GIA,-70.375,42.875,1970,4.0695149405622926e-4
GIA,-70.375,42.875,1971,4.0695149405622926e-4
GIA,-70.375,42.875,1972,4.0695149405622926e-4
GIA,-70.375,42.875,1973,4.0695149405622926e-4
GIA,-70.375,42.875,1974,4.0695149405622926e-4
GIA,-70.375,42.875,1975,4.0695149405622926e-4
GIA,-70.375,42.875,1976,4.0695149405622926e-4
GIA,-70.375,42.875,1977,4.0695149405622926e-4
GIA,-70.375,42.875,1978,4.0695149405622926e-4
GIA,-70.375,42.875,1979,4.0695149405622926e-4
GIA,-70.375,42.875,1980,4.0695149405622926e-4
GIA,-70.375,42.875,1981,4.0695149405622926e-4
GIA,-70.375,42.875,1982,4.0695149405622926e-4
GIA,-70.375,42.875,1983,4.0695149405622926e-4
GIA,-70.375,42.875,1984,4.0695149405622926e-4
GIA,-70.375,42.875,1985,4.0695149405622926e-4
GIA,-70.375,42.875,1986,4.0695149405622926e-4
GIA,-70.375,42.875,1987,4.0695149405622926e-4
GIA,-70.375,42.875,1988,4.0695149405622926e-4
GIA,-70.375,42.875,1989,4.0695149405622926e-4
GIA,-70.375,42.875,1990,4.0695149405622926e-4
GIA,-70.375,42.875,1991,4.0695149405622926e-4
GIA,-70.375,42.875,1992,4.0695149405622926e-4
GIA,-70.375,42.875,1993,4.0695149405622926e-4
GIA,-70.375,42.875,1994,4.0695149405622926e-4
GIA,-70.375,42.875,1995,4.0695149405622926e-4
GIA,-70.375,42.875,1996,4.0695149405622926e-4
GIA,-70.375,42.875,1997,4.0695149405622926e-4
GIA,-70.375,42.875,1998,4.0695149405622926e-4
GIA,-70.375,42.875,1999,4.0695149405622926e-4
GIA,-70.375,42.875,2000,4.0695149405622926e-4
GIA,-70.375,42.875,2001,4.0695149405622926e-4
GIA,-70.375,42.875,2002,4.0695149405622926e-4
GIA,-70.375,42.875,2003,4.0695149405622926e-4
GIA,-70.375,42.875,2004,4.0695149405622926e-4
GIA,-70.375,42.875,2005,4.0695149405622926e-4
GIA,-70.375,42.875,2006,4.0695149405622926e-4
GIA,-70.375,42.875,2007,4.0695149405622926e-4
GIA,-70.375,42.875,2008,4.0695149405622926e-4
GIA,-70.375,42.875,2009,4.0695149405622926e-4
GIA,-70.375,42.875,2010,4.0695149405622926e-4
GIA,-70.375,42.875,2011,4.0695149405622926e-4
GIA,-70.375,42.875,2012,4.0695149405622926e-4
GIA,-70.375,42.875,2013,4.0695149405622926e-4
GIA,-70.375,42.875,2014,4.0695149405622926e-4
GIA,-70.375,42.875,2015,4.0695149405622926e-4
GIA,-70.375,42.875,2016,4.0695149405622926e-4
GIA,-70.375,42.875,2017,4.0695149405622926e-4
GIA,-70.375,42.875,2018,4.0695149405622926e-4
GIA,-70.375,42.875,2019,4.0695149405622926e-4
GIA,-70.375,42.875,2020,4.0695149405622926e-4
GIA,-70.375,42.875,2021,4.0695149405622926e-4
